5110/1 ReadFunction4 4 32742
5110/1 startIO 4 32767
5110/1 ctrlApp5 5 0
5120/1 doneIO 4 32767
5120/1 IOApp4 4 32742
5191/1 readSCI 5 5
5191/1 ReadFunction5 5 32742
5191/1 startIO 5 32767
5191/1 ctrlApp6 6 0
5201/1 doneIO 5 32767
5201/1 IOApp5 5 32742
5263/1 readSCI 6 5
5263/1 ReadFunction6 6 32742
5263/1 startIO 6 32767
5263/1 ctrlApp7 7 0
5273/1 doneIO 6 32767
5273/1 IOApp6 6 32742
5322/1 readSCI 7 5
5322/1 ReadFunction7 7 32742
5322/1 startIO 7 32767
5322/1 ctrlApp8 8 0
5332/1 doneIO 7 32767
5332/1 IOApp7 7 32742
5415/1 readSCI 8 5
5415/1 ReadFunction8 8 32742
5415/1 startIO 8 32767
5415/1 ctrlApp9 9 0
5425/1 doneIO 8 32767
5425/1 IOApp8 8 32742
5472/1 readSCI 9 5
5472/1 ReadFunction9 9 32742
5472/1 startIO 9 32767
5472/1 ctrlApp10 10 0
5482/1 doneIO 9 32767
5482/1 IOApp9 9 32742
5487/1 readSCI 10 5
5487/1 ReadFunction10 10 32742
5487/1 startIO 10 32767
5487/1 ctrlApp11 11 0
5497/1 doneIO 10 32767
5497/1 IOApp10 10 32742
5523/1 readSCI 11 5
5523/1 ReadFunction11 11 32742
5523/1 startIO 11 32767
5523/1 ctrlApp12 12 0
5533/1 doneIO 11 32767
5533/1 IOApp11 11 32742
5596/1 readSCI 12 5
5596/1 ReadFunction12 12 32742
5596/1 startIO 12 32767
5596/1 ctrlApp13 13 0
5606/1 doneIO 12 32767
5606/1 IOApp12 12 32742
5660/1 readSCI 13 5
5660/1 ReadFunction13 13 32742
5660/1 startIO 13 32767
5660/1 ctrlApp14 14 0
5670/1 doneIO 13 32767
5670/1 IOApp13 13 32742
5751/1 readSCI 14 5
5751/1 ReadFunction14 14 32742
5751/1 startIO 14 32767
5751/1 ctrlApp15 15 0
5754/1 readSCI 15 5
5754/1 ReadFunction15 15 32742
5754/1 startIO 15 32767
5754/1 ctrlApp16 16 0
5761/1 doneIO 14 32767
5761/1 IOApp14 14 32742
5764/1 doneIO 15 32767
5764/1 IOApp15 15 32742
5770/1 readSCI 16 5
5770/1 ReadFunction16 16 32742
5770/1 startIO 16 32767
5770/1 ctrlApp2 2 0
5780/1 doneIO 16 32767
5780/1 IOApp16 16 32742
5801/1 writeSCI 2 5
5801/1 WriteFunction2 2 32742
5801/1 startIO 2 32767
5801/1 ctrlApp3 3 0
5811/1 doneIO 2 32767
5811/1 IOApp2 2 32742
5878/1 writeSCI 3 5
5878/1 WriteFunction3 3 32742
5878/1 startIO 3 32767
5878/1 ctrlApp4 4 0
5888/1 doneIO 3 32767
5888/1 IOApp3 3 32742
5964/1 writeSCI 4 5
5964/1 WriteFunction4 4 32742
5964/1 startIO 4 32767
5964/1 ctrlApp5 5 0
5965/1 writeSCI 5 5
5965/1 WriteFunction5 5 32742
5965/1 startIO 5 32767
5965/1 ctrlApp6 6 0
5974/1 doneIO 4 32767
5974/1 IOApp4 4 32742
5975/1 doneIO 5 32767
5975/1 IOApp5 5 32742
5995/1 writeSCI 6 5
5995/1 WriteFunction6 6 32742
5995/1 startIO 6 32767
5995/1 ctrlApp7 7 0
6005/1 doneIO 6 32767
6005/1 IOApp6 6 32742
6079/1 writeSCI 7 5
6079/1 WriteFunction7 7 32742
6079/1 startIO 7 32767
6079/1 ctrlApp8 8 0
6089/1 doneIO 7 32767
6089/1 IOApp7 7 32742
6149/1 writeSCI 8 5
6149/1 WriteFunction8 8 32742
6149/1 startIO 8 32767
6149/1 ctrlApp9 9 0
6159/1 doneIO 8 32767
6159/1 IOApp8 8 32742
6190/1 writeSCI 9 5
6190/1 WriteFunction9 9 32742
6190/1 startIO 9 32767
6190/1 ctrlApp10 10 0
6200/1 doneIO 9 32767
6200/1 IOApp9 9 32742
6245/1 writeSCI 10 5
6245/1 WriteFunction10 10 32742
6245/1 startIO 10 32767
6245/1 ctrlApp11 11 0
6255/1 doneIO 10 32767
6255/1 IOApp10 10 32742
6314/1 writeSCI 11 5
6314/1 WriteFunction11 11 32742
6314/1 startIO 11 32767
6314/1 ctrlApp12 12 0
6324/1 doneIO 11 32767
6324/1 IOApp11 11 32742
6387/1 writeSCI 12 5
6387/1 WriteFunction12 12 32742
6387/1 startIO 12 32767
6387/1 ctrlApp13 13 0
6397/1 doneIO 12 32767
6397/1 IOApp12 12 32742
6482/1 writeSCI 13 5
6482/1 WriteFunction13 13 32742
6482/1 startIO 13 32767
6482/1 ctrlApp14 14 0
6492/1 doneIO 13 32767
6492/1 IOApp13 13 32742
6550/1 writeSCI 14 5
6550/1 WriteFunction14 14 32742
6550/1 startIO 14 32767
6550/1 ctrlApp15 15 0
6560/1 doneIO 14 32767
6560/1 IOApp14 14 32742
6588/1 writeSCI 15 5
6588/1 WriteFunction15 15 32742
6588/1 startIO 15 32767
6588/1 ctrlApp16 16 0
6598/1 doneIO 15 32767
6598/1 IOApp15 15 32742
6650/1 writeSCI 16 5
6650/1 WriteFunction16 16 32742
6650/1 startIO 16 32767
6650/1 ctrlApp2 2 0
6660/1 doneIO 16 32767
6660/1 IOApp16 16 32742
6743/1 readSCI 2 5
6743/1 ReadFunction2 2 32742
6743/1 startIO 2 32767
6743/1 ctrlApp3 3 0
6753/1 doneIO 2 32767
6753/1 IOApp2 2 32742
6777/1 readSCI 3 5
6777/1 ReadFunction3 3 32742
6777/1 startIO 3 32767
6777/1 ctrlApp4 4 0
6787/1 doneIO 3 32767
6787/1 IOApp3 3 32742
6819/1 readSCI 4 5
6819/1 ReadFunction4 4 32742
6819/1 startIO 4 32767
6819/1 ctrlApp5 5 0
6829/1 doneIO 4 32767
6829/1 IOApp4 4 32742
6911/1 readSCI 5 5
6911/1 ReadFunction5 5 32742
6911/1 startIO 5 32767
6911/1 ctrlApp6 6 0
6917/1 readSCI 6 5
6917/1 ReadFunction6 6 32742
6917/1 startIO 6 32767
6917/1 ctrlApp7 7 0
6921/1 doneIO 5 32767
6921/1 IOApp5 5 32742
6927/1 doneIO 6 32767
6927/1 IOApp6 6 32742
6985/1 readSCI 7 5
6985/1 ReadFunction7 7 32742
6985/1 startIO 7 32767
6985/1 ctrlApp8 8 0
6995/1 doneIO 7 32767
6995/1 IOApp7 7 32742
7051/1 readSCI 8 5
7051/1 ReadFunction8 8 32742
7051/1 startIO 8 32767
7051/1 ctrlApp9 9 0
7061/1 doneIO 8 32767
7061/1 IOApp8 8 32742
7104/1 readSCI 9 5
7104/1 ReadFunction9 9 32742
7104/1 startIO 9 32767
7104/1 ctrlApp10 10 0
7114/1 doneIO 9 32767
7114/1 IOApp9 9 32742
7168/1 readSCI 10 5
7168/1 ReadFunction10 10 32742
7168/1 startIO 10 32767
7168/1 ctrlApp11 11 0
7178/1 doneIO 10 32767
7178/1 IOApp10 10 32742
7200/1 readSCI 11 5
7200/1 ReadFunction11 11 32742
7200/1 startIO 11 32767
7200/1 ctrlApp12 12 0
7210/1 doneIO 11 32767
7210/1 IOApp11 11 32742
7245/1 readSCI 12 5
7245/1 ReadFunction12 12 32742
7245/1 startIO 12 32767
7245/1 ctrlApp13 13 0
7255/1 doneIO 12 32767
7255/1 IOApp12 12 32742
7260/1 readSCI 13 5
7260/1 ReadFunction13 13 32742
7260/1 startIO 13 32767
7260/1 ctrlApp14 14 0
7270/1 doneIO 13 32767
7270/1 IOApp13 13 32742
7316/1 readSCI 14 5
7316/1 ReadFunction14 14 32742
7316/1 startIO 14 32767
7316/1 ctrlApp15 15 0
7326/1 doneIO 14 32767
7326/1 IOApp14 14 32742
7333/1 readSCI 15 5
7333/1 ReadFunction15 15 32742
7333/1 startIO 15 32767
7333/1 ctrlApp16 16 0
7343/1 doneIO 15 32767
7343/1 IOApp15 15 32742
7406/1 readSCI 16 5
7406/1 ReadFunction16 16 32742
7406/1 startIO 16 32767
7406/1 ctrlApp2 2 0
7416/1 doneIO 16 32767
7416/1 IOApp16 16 32742
7454/1 writeSCI 2 5
7454/1 WriteFunction2 2 32742
7454/1 startIO 2 32767
7454/1 ctrlApp3 3 0
7464/1 doneIO 2 32767
7464/1 IOApp2 2 32742
7506/1 writeSCI 3 5
7506/1 WriteFunction3 3 32742
7506/1 startIO 3 32767
7506/1 ctrlApp4 4 0
7516/1 doneIO 3 32767
7516/1 IOApp3 3 32742
7523/1 writeSCI 4 5
7523/1 WriteFunction4 4 32742
7523/1 startIO 4 32767
7523/1 ctrlApp5 5 0
7533/1 doneIO 4 32767
7533/1 IOApp4 4 32742
7577/1 writeSCI 5 5
7577/1 WriteFunction5 5 32742
7577/1 startIO 5 32767
7577/1 ctrlApp6 6 0
7587/1 doneIO 5 32767
7587/1 IOApp5 5 32742
7602/1 writeSCI 6 5
7602/1 WriteFunction6 6 32742
7602/1 startIO 6 32767
7602/1 ctrlApp7 7 0
7612/1 doneIO 6 32767
7612/1 IOApp6 6 32742
7666/1 writeSCI 7 5
7666/1 WriteFunction7 7 32742
7666/1 startIO 7 32767
7666/1 ctrlApp8 8 0
7671/1 writeSCI 8 5
7671/1 WriteFunction8 8 32742
7671/1 startIO 8 32767
7671/1 ctrlApp9 9 0
7676/1 doneIO 7 32767
7676/1 IOApp7 7 32742
7681/1 doneIO 8 32767
7681/1 IOApp8 8 32742
7709/1 writeSCI 9 5
7709/1 WriteFunction9 9 32742
7709/1 startIO 9 32767
7709/1 ctrlApp10 10 0
7715/1 writeSCI 10 5
7715/1 WriteFunction10 10 32742
7715/1 startIO 10 32767
